GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0031331	8	164.0	0.7560846240810748	160.0	0.6977013793352926
GO:0031334	7	72.0	0.017259321412876494	93.0	0.16384432474942198
GO:0031344	13	306.0	0.01108697711471152	353.0	0.09954580401687824
GO:0031345	5	33.0	0.0346336184683428	45.0	0.23573361726507117
GO:0031346	6	42.0	0.005407226665640044	66.0	0.18225374551568468
GO:0031347	5	43.0	0.18330110459811536	39.0	0.10233086136954064
GO:0031349	4	21.0	0.08092768885594051	39.0	0.831253797884157
GO:0031396	5	44.0	0.20854647161060821	58.0	0.6800575833770865
GO:0031398	4	17.0	0.02723999000694707	40.0	0.862169673729559
GO:0031399	24	1084.0	3.743784546559497E-4	1326.0	0.1066692956651441
GO:0031400	8	101.0	0.018871101866447203	133.0	0.2514464592775477
GO:0031401	19	664.0	0.0013986494127210234	798.0	0.08882518205544093
GO:0031410	43	4385.0	0.037489180701122234	4823.0	0.4881073712966651
GO:0031461	6	20.0	2.518352001182211E-5	76.0	0.4118785835180482
GO:0031462	4	6.0	3.678756898097148E-4	30.0	0.41300657794238405
GO:0031489	3	3.0	0.0027645561644255995	8.0	0.04692563119074478
GO:0031503	11	110.0	4.0445305414831453E-7	272.0	0.29985035035008734
GO:0031519	4	10.0	0.002241050973121631	28.0	0.3149684288245026
GO:0031589	4	21.0	0.08092768885594051	38.0	0.7962049654024463
GO:0031625	10	142.0	0.001241046191422622	243.0	0.5602245622186018
GO:0031647	5	52.0	0.4679491693276495	51.0	0.43179455861999705
GO:0031667	4	40.0	0.862169673729559	28.0	0.3149684288245026
GO:0031668	3	29.0	0.9969454916740108	7.0	0.029419016654363854
GO:0031902	3	3.0	0.0027645561644255995	7.0	0.029419016654363854
GO:0031903	3	20.0	0.8088205323061611	8.0	0.04692563119074478
GO:0031907	3	4.0	0.005483653277737073	12.0	0.2049491548637462
GO:0031965	7	45.0	1.7613442179252413E-4	96.0	0.20707525065951202
GO:0031966	27	2280.0	0.9989265611319087	1920.0	0.6495050106121849
GO:0031967	41	4883.0	0.9829504544741674	4295.0	0.3548593519580808
GO:0031968	6	100.0	0.9220666914154951	50.0	0.022676749192377856
GO:0031970	7	96.0	0.20707525065951202	122.0	0.722019032414138
GO:0031974	99	29053.0	0.9999863267416627	26376.0	0.4906043193767425
GO:0031975	41	4883.0	0.9829504544741674	4329.0	0.4097497085729548
GO:0031981	59	9406.0	0.7111566555482471	9034.0	0.32947017542698553
GO:0031982	63	9009.0	8.669749176962777E-5	10322.0	0.3188197341039125
GO:0031983	9	99.0	3.7745528336715587E-4	205.0	0.7015974996371134
GO:0031984	32	2612.0	0.42533113609499584	2451.0	0.12726488509045097
GO:0032040	4	6.0	3.678756898097148E-4	30.0	0.41300657794238405
GO:0032101	5	56.0	0.6122154309364689	47.0	0.2955193161882657
GO:0032103	3	14.0	0.3448186521234654	14.0	0.3448186521234654
GO:0032147	5	25.0	0.005420920062960871	51.0	0.43179455861999705
